asset_title,content_category,count,total_duration_seconds
HD ID - SPENCER INDIANA (2021),ID,4,2399.0
HD ID - TERRE HAUTE INDIANA (2021),ID,4,2677.0
AUD - SATURDAY AT NOON,Audio,4,1378.0
TONIGHT LINE-UP 06,Filler,4,3600.0
COMING IN FALL 2026,Text,3,1800.0
PROMO - BARBRA STREISAND: TIMELESS - TON 2200,Promo,3,5307.0
TONIGHT LINE-UP 08,Filler,3,2700.0
KIDS FILLER - PRINCESS JOHNSON FIL1196 TALING ABOUT MOLLY OF DENALI,Filler,3,5400.0
FILLER - PBS KIDS - ROCK CONCERT,Filler,3,2607.0
TONIGHT LINEUP-03,Graphics,3,2700.0
TONIGHT LINEUP-04,Graphics,3,2700.0
FILLER - PASSPORT AWARENESS - UPDATED 2023,Filler,3,180.20000000000002
FILLER - PLANNED GIVING #3 - W/ AMY O.,Filler,3,3867.0
AUD - MONDAY NIGHT AT 10,Audio,3,1080.0
KIDS FILLER - PBS KIDS ROCKS -MORE COLORS YOU FIL1461 THE WEEPERS,Filler,3,180.0
TONIGHT LINEUP-08,Graphics,3,2700.0
TUESDAY EVENING AT 8,Text,3,1806.0
PROMO - EPIC TRAIN JOURNE - SERIES SELL - TON,Promo,3,4200.0
MONDAY NIGHT AT 10,Text,3,1800.0
A TEAM THAT WOULDN T BE BEAT #000 6YN,Program,3,10381.9
WONDERLAB - WONDER CAMP 26,Other,3,2520.0
HD ID - NASHVILLE INDIANA (2021),ID,3,2310.0
HD ID - MCCORMICK S CREEK (SUMMER/WINTER),ID,3,2002.0
PROMO - GENE STRATTON-PORTER - COMING IN 2026,Promo,3,369.0
HD ID - FRONTLINE,ID,3,2125.0
PROMO - CHICAGO & FRIENDS: LIVE W/TIX - TON 2,Promo,3,5400.0
PROMO - MAKING OF THE AMERICAN REV - TON 2000,Promo,3,5400.0
PROMO - MORE DECONSTRUCTING THE B - THURS 223,Promo,3,5400.0
WEDNESDAY EVENING AT 9:30,Text,3,1800.0
WEDNESDAY EVENING AT 8,Text,3,1800.0
HD ID - BEDFORD INDIANA (2021),ID,3,2204.0
HD ID - ASK THIS OLD HOUSE,ID,3,1715.0
FILLER - PLANNED GIVING #4 - W/ AMY O.,Filler,3,6387.0
FI - PARENT TESTIMONIALS - GUS,Filler,3,5403.0
AUD - TONIGHT AT 9,Audio,3,1080.0
TONIGHT AT 9,Text,3,1800.0
PROMO - A TEAM THAT WOULDN T BE BEAT - NEXT,Promo,3,5307.0
FILLER - TESTIMONIAL- LANE RALPH - SUSTAINER,Filler,3,1800.0
KIDS MUSIC FILLERS - THE OLD FAMILY TOOTHBRUS,Filler,3,7998.0
AUD - TUESDAY EVENING AT 8,Audio,3,1086.0
PROMO - A TEAM THAT WOULDN T BE BEAT - SUN 10,Promo,3,5307.0
THURSDAY NIGHT AT 10:30,Text,3,1800.0
SMITHVILLE - 2023,Other,3,2520.0
SUNDAY MORNING AT 10:30,Text,3,1707.0
AUD - TONIGHT AT 8:30,Audio,3,1080.0
PROMO - A TEAM THAT WOULDN T BE BEAT - TON 20,Promo,3,5400.0
TONIGHT AT 8:30,Text,3,1800.0
TONIGHT LINE-UP 03,Filler,3,2700.0
BLOOMINGTON HEALTH FOUNDATION - AGING 22,Other,3,2520.0
AUD - THURSDAY NIGHT AT 10:30,Audio,3,1080.0
PROMO - AGING BACKWARDS 4: THE MIR - SUN 1130,Promo,3,5400.0
FILLER - SANDITON ON APP - ALL SEASONS,Filler,3,5307.0
FILLER-TESTIMONIAL- BETH NEWTON WATSON-ARTS FIL1855 QUALITY ARTS PROGRAMMING,Filler,3,1800.0
IU CREDIT UNION - KIDS,Other,3,2520.0
IRELAND S WILD COAST #101 7YN [TVPG],Program,3,9759.0
TONIGHT LINE-UP 04,Filler,3,2700.0
AUD - WEDNESDAY EVENING AT 8,Audio,3,1080.0
SUNDAY MORNING AT 11:30,Text,3,1800.0
IRELAND S WILD COAST #102 7YN [TVPG],Program,3,9864.0
FILLER - VEHICLE DONATION - ALAN RESNIK,Filler,3,180.0
AUD - SUNDAY MORNING AT 10:30,Audio,3,987.0
AUD - SUNDAY MORNING AT 11:30,Audio,3,1080.0
AUD - WEDNESDAY EVENING AT 9:30,Audio,3,1080.0
FILLER - VEHICLE DONATION SPOT #2,Filler,3,6747.0
PLEDGE BREAK - PBS NEWS HOUR - HAS PH GX/PRE 2603NHA NEWSHOUR A MARCH 2026 (SUSTAINER CHALLENGE),Filler,3,1260.0
KIDS FILLER - ANTI-BULLYING-DREW & BOO LOVE C FIL1526 #111,Filler,2,7138.0
PROMO - CITY LIMITS,Promo,2,2818.0
HOTEL PORTOFINO #103 7YN INVITATIONS [TV14],Program,2,6572.0
PROMO - CONCERT FOR GEORGE - SAT 2300,Promo,2,3600.0
PROMO - ALL CREATURES GREAT AND SMALL: - SUN,Promo,2,3600.0
KIDS FILLER - CATCHPHRASES,Filler,2,120.13333333333334
FILLER - CRAFT IN AMERICA - INSPIRATION FIL1263 MARY LITTLE - TEXTILE ARTIST,Filler,2,285.06666666666666
PROMO - EPIC TRAIN JOURNE - SERIES SELL - MON,Promo,2,3000.0
PROMO - CHICAGO & FRIENDS: LIVE W/TIX - SUN 1,Promo,2,3600.0
HD ID - NATURE,ID,2,1407.0
PBS NEWS HOUR #15178H 7YN,Program,2,2986.0333333333333
FILLER-TESTIMONIAL- BETH NEWTON WATSON-PUBLIC FIL1853 PUBLIC GOOD,Filler,2,1200.0
PROMO - 60S AND 70S SOUL CELEBRATI - SAT 1830,Promo,2,3600.0
HD ID - THIS OLD HOUSE,ID,2,1116.0
HD ID - WTIU NEWS - JOE HREN,ID,2,1467.0
KIDS FILLER - ACTIVITY CHALLENGE - LIZARD BAL FIL1027 WILD KRATTS,Filler,2,126.0
PROMO - BLACK AND JEWISH IN AMERICA - TUES 20,Promo,2,344.2
FILLER - JOURNEY IND - BROWN CO. STATE PARK,Filler,2,7138.0
KIDS FILLER - ACTIVITY CHALLENGE - GO STOP GO FIL1026 DANIEL TIGER,Filler,2,126.0
PBS TESTIMONIAL-BRIDGET LANCAST-INCLUDES LOWE FIL1291 HOST OF AMERICA S TEST KITCHEN/COOK S COUNTRY,Filler,2,3600.0
FILLER - PLANNED GIVING - LEE ANN FIL628 TEACHES GRANDDAUGHTER ABOUT LOVE OF NATURE,Filler,2,3600.0
PHOEBE & JAY #104 7YD FIND PHOEBE/TRICK SHOT [TVY],Program,2,3452.0
"PBS TESTIMONIAL - RICK STEVES - INCLUDES LOWE FIL1299 SHOWS THAT CELEBRATE OUR WORLD, IMPORTANCE OF",Filler,2,120.0
FILLER - PBS PASSPORT PLEDGE - WORDS,Filler,2,3600.0
FILLER - TESTIMONIAL - EMMA WATSON FIL1852 NEWS ROOM INTERN,Filler,2,120.0
FILLER -RICK STEVES TRAVEL BITES -WHY TRAVEL FIL1141 WHY WE TRAVEL: FUN AND EXCITEMENT,Filler,2,490.0
FILLER - PBS KIDS - WATER SLIDE,Filler,2,1738.0
IU CENTER FOR RURAL ENGAGEMENT - CRE_NEWSDESK,Other,2,1680.0
INDIANA NEWSDESK #1336H CYN [TVG],Program,2,3212.0
PROMO - BLACK AND JEWISH AMERICA - TON 2000 BJAM0101_30 LET MY PEOPLE GO,Promo,2,3600.0
PBS TESTIMONIAL - HENRY GATES - INCLUDES LOWE FIL1289 MOMENTS THAT SHAPE WHO WE ARE,Filler,2,3600.0
FILLER - MEMBERSHIP - SUSTAINER - W/ AMY O.,Filler,2,6658.0
FILLER - TESTIMONIAL LOCAL - ISABELLA VESPERI FIL1872 INTERN/EXPERIENCE,Filler,2,120.0
"FILLER - LOCAL TESTIMONIAL - MARK, SUSAN & FR",Filler,2,5686.0
"FILLER - LOCAL TESTIMONIAL - MARK, EUGENE AND",Filler,2,5686.0
FILLER - LOCAL TESTIMONIAL - BROOK FROM MADIS,Filler,2,3600.0
PROMO - AMERICA S HOME COOKING-FOURTH - SUN,Promo,2,3600.0
PROMO - CELEBRITY ANT. ROADTRIP - SERIES - NE CERTSERIES_30 SEASONS 1 AND 2,Promo,2,3534.0
KID FILLER - SCIENCE U - LEMON BATTERIES FIL1540 #410,Filler,2,7138.0
"FILLER - JOURNEY INDIANA - STEER AND THE STRU FIL1736 S7E9, KOKOMO S OVERSIZED ATTRACTIONS",Filler,2,265.53333333333336
"FILLER - JOURNEY INDIANA - HALL OF HOOSIERS FIL1738 S7E10, IND. STATE MUSEUM CELEBRATES HOOSIERS",Filler,2,335.6
FILLER - JOURNEY IND - ZAHARAKOS ICE CREAM- C FIL1784 100 YEAR OLD ICE CREAM PARLOR IN COLUMBUS,Filler,2,7138.0
PLEDGE BREAK - PBS NEWS HOUR - HAS PH GX/PRE 2603NHB NEWSHOUR B MARCH 2026 (SUSTAINER CHALLENGE),Filler,2,839.9666666666666
PROMO - NOVA - WED 2130 NOVA4613_30 THE PLANETS: MARS,Promo,2,3600.0
SATURDAY EVENING AT 6:30,Text,2,1200.0
AUD - SUNDAY AFTERNOON AT 4:30,Audio,2,720.0
AUD - SUNDAY EVENING AT 8:30,Audio,2,720.0
AUD - TONIGHT AT 10:30,Audio,2,720.0
LUMBER JOKES FILLERS - FINGERS,Filler,2,3638.0
TONIGHT AT 10:30,Text,2,1200.0
LUMBER JOKES FILLERS - ACORN,Filler,2,4444.0
LA FRONTERA WITH PATI JINICH #203H 7YN BACK TO THE MIDDLE [TVPG],Program,2,6752.0
LA FRONTERA WITH PATI JINICH #202H 7YN ANCIENT SEEDS & DESERT GHOSTS [TVPG],Program,2,6752.0
KIDS MUSIC FILLERS - YOU ARE MY SUNSHINE,Filler,2,5168.0
BELL TRACE - 2019,PublicService,2,1680.0
TESTIMONIAL - MARTHA NICE - TESTIMONIAL (2023,Filler,2,7114.0
SUNDAY EVENING AT 8:30,Text,2,1200.0
SUNDAY EVENING AT 7:30,Text,2,1200.0
SUNDAY AFTERNOON AT 4:30,Text,2,1200.0
SUNDAY AFTERNOON AT 12:30,Text,2,1200.0
ST. MARKS NURSERY SCHOOL & KINDERGARTEN - TV-,Other,2,1680.0
SESAME STREET #5602 7YD COOKIE MONSTER S BIG PUZZLE [TVY],Program,2,3452.0
SESAME STREET #5411 7YD SESAME STREET SONG DAY [TVY],Program,2,3452.0
SATURDAY NIGHT AT 11,Text,2,1200.0
BUNGER & ROBERTSON - 1949 IMMIGRATION,Other,2,1680.0
CARL THE COLLECTOR #103 7YS THE PLUSHIE COLLECTION/THE BOUNCY B [TVY],Program,2,3452.0
CHICAGO & FRIENDS: LIVE AT 55 #000( 7YN [TVG] pt01,Program,2,2843.0666666666666
CHICAGO & FRIENDS: LIVE AT 55 #000( 7YN [TVG] pt02,Program,2,1964.0666666666664
CHICAGO & FRIENDS: LIVE AT 55 #000( 7YN [TVG] pt03,Program,2,2242.2
